model_set,tool,theme_col,theme_or_category,beta,p_value,n_obs,n_months,df_resid,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,total_count
tool_by_Associated_Component_Theme,sigstore/fulcio,Associated Component Theme,API,-0.04854556158052091,1.7575779570888712e-14,49,49,47.0,1.285542336689592,1.3365101901004626,False,False,0.14285714285714285,0.12977679661305042,0.19427875036172376,False,162
tool_by_Associated_Component_Theme,sigstore/fulcio,Associated Component Theme,Authentication/Authorization tools,-0.04223332068256371,1.7234892389151964e-08,49,49,47.0,1.180146051383615,1.3269889639312846,False,False,0.22448979591836735,0.19263123378856312,0.12726620411256656,False,109
tool_by_Associated_Component_Theme,sigstore/fulcio,Associated Component Theme,Build/CI,-0.05126199145368272,7.808839625074542e-18,49,49,47.0,1.524402085778239,1.5435249698281446,True,False,0.12244897959183673,0.11288103601382976,0.1959000760008728,False,188
tool_by_Associated_Component_Theme,sigstore/fulcio,Associated Component Theme,CLI tooling,-0.04376212763164625,2.7718560203739165e-10,49,49,47.0,1.2421064526294232,1.4411142046115024,False,False,0.20408163265306123,0.15885202570481985,0.28569742849404034,False,129
tool_by_Associated_Component_Theme,sigstore/fulcio,Associated Component Theme,Documentation/Help,-0.05157071410197625,2.9454821218318825e-10,49,49,47.0,0.8795632172628666,1.009801883309554,False,False,0.2653061224489796,0.24841535534604411,0.2485846708976674,False,100
tool_by_Associated_Component_Theme,sigstore/fulcio,Associated Component Theme,Notification/Logging,-0.05576765396715751,9.898932335876917e-09,49,49,47.0,1.1483928208894294,1.1820823463383465,False,False,0.3673469387755102,0.3425214781642488,0.7940627531054738,False,74
tool_by_Associated_Component_Theme,sigstore/fulcio,Associated Component Theme,Policy/configuration,-0.044642621179451135,2.7000375499990632e-08,49,49,47.0,1.2010563899395912,1.35295151755192,False,False,0.30612244897959184,0.23079260228339105,0.4613012325029161,False,97
tool_by_Associated_Component_Theme,sigstore/fulcio,Associated Component Theme,Signing workflow,-0.04210473233847894,1.072933095225657e-06,49,49,47.0,1.1486478537706377,1.1923534752737612,False,False,0.20408163265306123,0.2678840439587713,0.06429378128432076,False,82
tool_by_Associated_Component_Theme,sigstore/fulcio,Associated Component Theme,Verification workflow,-0.0491890457476632,7.78784125065465e-06,49,49,47.0,0.9331532650552159,0.9899892631055912,False,False,0.3877551020408163,0.41212437028783716,0.609967374318443,False,54
tool_by_Associated_Component_Theme,sigstore/fulcio,Associated Component Theme,Web Client,-0.04731831354990448,2.0924233974339032e-08,49,49,47.0,1.2622700207772533,1.3553064504868708,False,False,0.30612244897959184,0.26012059178259195,0.10646652028258773,False,90
