repo,month,month_start,usability_issue_count
hashicorp/vault,2025-06,2025-06-01,17
notaryproject/notation,2025-06,2025-06-01,2
openpubkey/openpubkey,2025-06,2025-06-01,1
sigstore/cosign,2025-06,2025-06-01,5
sigstore/fulcio,2025-06,2025-06-01,1
sigstore/rekor,2025-06,2025-06-01,0
Keyfactor/ejbca-ce,2025-07,2025-07-01,6
Keyfactor/signserver-ce,2025-07,2025-07-01,0
hashicorp/vault,2025-07,2025-07-01,24
notaryproject/notation,2025-07,2025-07-01,0
openpubkey/openpubkey,2025-07,2025-07-01,0
sigstore/cosign,2025-07,2025-07-01,9
sigstore/fulcio,2025-07,2025-07-01,2
sigstore/rekor,2025-07,2025-07-01,1
Keyfactor/ejbca-ce,2025-08,2025-08-01,4
Keyfactor/signserver-ce,2025-08,2025-08-01,0
hashicorp/vault,2025-08,2025-08-01,17
notaryproject/notation,2025-08,2025-08-01,0
openpubkey/openpubkey,2025-08,2025-08-01,0
sigstore/cosign,2025-08,2025-08-01,6
sigstore/fulcio,2025-08,2025-08-01,0
sigstore/rekor,2025-08,2025-08-01,3
Keyfactor/ejbca-ce,2025-09,2025-09-01,4
Keyfactor/signserver-ce,2025-09,2025-09-01,0
hashicorp/vault,2025-09,2025-09-01,14
notaryproject/notation,2025-09,2025-09-01,0
openpubkey/openpubkey,2025-09,2025-09-01,0
sigstore/cosign,2025-09,2025-09-01,5
sigstore/fulcio,2025-09,2025-09-01,0
sigstore/rekor,2025-09,2025-09-01,0
Keyfactor/ejbca-ce,2025-10,2025-10-01,2
Keyfactor/signserver-ce,2025-10,2025-10-01,0
hashicorp/vault,2025-10,2025-10-01,24
notaryproject/notation,2025-10,2025-10-01,2
openpubkey/openpubkey,2025-10,2025-10-01,1
sigstore/cosign,2025-10,2025-10-01,22
sigstore/fulcio,2025-10,2025-10-01,3
sigstore/rekor,2025-10,2025-10-01,1
Keyfactor/ejbca-ce,2025-11,2025-11-01,0
Keyfactor/signserver-ce,2025-11,2025-11-01,0
hashicorp/vault,2025-11,2025-11-01,3
notaryproject/notation,2025-11,2025-11-01,0
openpubkey/openpubkey,2025-11,2025-11-01,0
sigstore/cosign,2025-11,2025-11-01,1
sigstore/fulcio,2025-11,2025-11-01,0
sigstore/rekor,2025-11,2025-11-01,0
