repo,issue_number,issue_author,issue_text_words,issue_text_chars,comment_count,unique_commenters,comment_text_words,comment_text_chars,comment_authors_joined,unique_thread_participants,total_text_words,total_text_chars
hashicorp/vault,24074,umglurf,372,2368,4,4,266,1690,Foxboron|ccapurso|mila-rodriguez-netapp|mladlow,5,638,4058
hashicorp/vault,24072,nia-potato,105,697,9,3,1315,7931,maxcoulombe|nia-potato|robmonte,3,1420,8628
hashicorp/vault,24055,trevop,205,1289,1,1,12,69,raskchanky,2,217,1358
hashicorp/vault,24053,dipeshacharya,338,3008,0,0,0,0,,1,338,3008
hashicorp/vault,24047,eunsland,206,1344,0,0,0,0,,1,206,1344
hashicorp/vault,24046,outscale-fba,407,2337,1,1,19,106,hellobontempo,2,426,2443
hashicorp/vault,24045,pavanrangain,408,3400,1,1,47,235,peteski22,2,455,3635
hashicorp/vault,24039,Hansanto,454,3436,1,1,68,401,ccapurso,2,522,3837
hashicorp/vault,24037,Hansanto,645,5543,1,1,108,667,ccapurso,2,753,6210
hashicorp/vault,24022,kirby0025,850,6358,1,1,722,4723,daoz1026,2,1572,11081
hashicorp/vault,24020,brucellino,239,1752,3,3,58,358,bdkuhman|brucellino|ccapurso,3,297,2110
hashicorp/vault,24019,Hansanto,406,2897,1,1,79,480,ccapurso,2,485,3377
hashicorp/vault,23983,nia-potato,133,1243,3,3,227,1748,austingebauer|miecio45|sourcec0de,4,360,2991
hashicorp/vault,23981,ipaqmaster,288,1770,12,5,727,4196,Brado231|adrianmoisey|ccapurso|hellobontempo|ipaqmaster,5,1015,5966
hashicorp/vault,23980,mark64,1111,8466,1,1,41,206,stevendpclark,2,1152,8672
hashicorp/vault,23979,rjhornsby,220,1239,7,3,652,3630,Monkeychip|hashishaw|rjhornsby,3,872,4869
hashicorp/vault,23978,rjhornsby,355,2013,3,2,123,658,heatherezell|rjhornsby,2,478,2671
hashicorp/vault,23963,ajaymohandas89,178,1062,8,2,661,4301,ajaymohandas89|ccapurso,2,839,5363
hashicorp/vault,23941,Tim-herbie,255,1760,5,4,194,1131,Tim-herbie|bastiao|ccapurso|hellobontempo,4,449,2891
hashicorp/vault,23940,NetzWerkPlanDeveloper,193,1063,2,2,221,1304,hashishaw|timonych,3,414,2367
hashicorp/vault,23918,trevop,615,5464,9,6,2402,14455,Fore-4|SanduDS|e100|thnee|trevop|upenderadepu-moe,6,3017,19919
hashicorp/vault,23912,dombalaz,287,4088,0,0,0,0,,1,287,4088
hashicorp/vault,23896,jayunit100,293,1596,1,1,63,405,ccapurso,2,356,2001
hashicorp/vault,23882,pwhittlesea,279,1875,0,0,0,0,,1,279,1875
hashicorp/vault,23871,lboynton,775,5267,1,1,39,206,dvdlevanon-sgh,2,814,5473
hashicorp/vault,23814,kokizzu,231,1739,4,2,294,1708,kokizzu|raskchanky,2,525,3447
hashicorp/vault,23808,nia-potato,165,1068,6,3,977,7646,maxcoulombe|nia-potato|robmonte,3,1142,8714
hashicorp/vault,23800,kelvinatreslv,266,1694,3,3,80,363,bukovjanmic|hashishaw|isman-usoh,4,346,2057
hashicorp/vault,23793,grzechukol,460,3362,2,2,543,3239,grzechukol|npurdy-tyro,2,1003,6601
