category,month_start,expected_count
Build/CI/Installation,2024-10-01,5.182181625988123
CLI tooling,2024-10-01,14.711754146020017
Core,2024-10-01,15.28957281089044
Key Management Core / Secrets Backend,2024-10-01,8.32178948011317
Notification/Logging,2024-10-01,3.872210587446121
Policy/configuration,2024-10-01,11.579184227484186
Release pipeline,2024-10-01,1.867115948919803
Signing workflow,2024-10-01,5.902526773692293
Verification workflow,2024-10-01,4.911612083161222
Web Client,2024-10-01,6.1948103821764
API,2024-11-01,8.436867592008861
Authentication/Authorization tools,2024-11-01,7.0837623223069865
Build/CI/Installation,2024-11-01,5.0687705544858375
CLI tooling,2024-11-01,14.26577234491656
Core,2024-11-01,14.820486155169938
Key Management Core / Secrets Backend,2024-11-01,8.123599847876863
Notification/Logging,2024-11-01,3.7875200274467975
Policy/configuration,2024-11-01,11.24892584920554
Release pipeline,2024-11-01,1.8318370647384763
Signing workflow,2024-11-01,5.755028520435646
Verification workflow,2024-11-01,4.748595566279428
Web Client,2024-11-01,6.0956689783024
API,2024-12-01,8.182822070478734
Authentication/Authorization tools,2024-12-01,6.911655309964179
Build/CI/Installation,2024-12-01,4.957841462981088
CLI tooling,2024-12-01,13.833310329757149
Core,2024-12-01,14.365791156645924
Key Management Core / Secrets Backend,2024-12-01,7.930130249765406
Notification/Logging,2024-12-01,3.7046817662290152
Policy/configuration,2024-12-01,10.928087011568133
Release pipeline,2024-12-01,1.7972247699405244
Signing workflow,2024-12-01,5.611216101322222
Verification workflow,2024-12-01,4.590989571304968
Web Client,2024-12-01,5.998114227990933
API,2025-01-01,7.936426204025646
Authentication/Authorization tools,2025-01-01,6.743729807721493
Build/CI/Installation,2025-01-01,4.849340033807825
CLI tooling,2025-01-01,13.413958252849504
Core,2025-01-01,13.925046276864183
Key Management Core / Secrets Backend,2025-01-01,7.741268274640598
Notification/Logging,2025-01-01,3.6236552914762177
Policy/configuration,2025-01-01,10.616399052967218
Release pipeline,2025-01-01,1.76326646941654
Signing workflow,2025-01-01,5.470997411035304
Verification workflow,2025-01-01,4.438614522892536
Web Client,2025-01-01,5.902120738525849
API,2025-02-01,7.697449651164164
Authentication/Authorization tools,2025-02-01,6.57988422165501
Build/CI/Installation,2025-02-01,4.743213138031916
CLI tooling,2025-02-01,13.007318690894156
Core,2025-02-01,13.497823523844245
Key Management Core / Secrets Backend,2025-02-01,7.556904188519455
Notification/Logging,2025-02-01,3.544400976931812
Policy/configuration,2025-02-01,10.313600974492068
Release pipeline,2025-02-01,1.7299498060398752
Signing workflow,2025-02-01,5.334282645878118
Verification workflow,2025-02-01,4.291296805806625
Web Client,2025-02-01,5.807663523574626
API,2025-03-01,7.465669006303259
Authentication/Authorization tools,2025-03-01,6.420019426165683
Build/CI/Installation,2025-03-01,4.639408809435976
CLI tooling,2025-03-01,12.613006268343176
Core,2025-03-01,13.083708036471329
Key Management Core / Secrets Backend,2025-03-01,7.376930870815759
Notification/Logging,2025-03-01,3.4668800630198224
Policy/configuration,2025-03-01,10.019439221372709
Release pipeline,2025-03-01,1.6972626561699928
Signing workflow,2025-03-01,5.2009842462586455
Verification workflow,2025-03-01,4.148868567105348
Web Client,2025-03-01,5.714717996684629
API,2025-04-01,7.24086759089714
Authentication/Authorization tools,2025-04-01,6.264038704008944
Build/CI/Installation,2025-04-01,4.537876219073524
CLI tooling,2025-04-01,12.23064729217672
Core,2025-04-01,12.682297681639165
Key Management Core / Secrets Backend,2025-04-01,7.201243752100067
Notification/Logging,2025-04-01,3.391054637889396
Policy/configuration,2025-04-01,9.73366747066009
Release pipeline,2025-04-01,1.665193125240779
Signing workflow,2025-04-01,5.071016840611689
Verification workflow,2025-04-01,4.011167524889781
Web Client,2025-04-01,5.623259964883454
API,2025-05-01,7.022835250884791
Authentication/Authorization tools,2025-05-01,6.111847687781345
Build/CI/Installation,2025-05-01,4.438565650380028
CLI tooling,2025-05-01,11.85987939775118
Core,2025-05-01,12.293202663752558
Key Management Core / Secrets Backend,2025-05-01,7.0297407533420015
Notification/Logging,2025-05-01,3.3168876188738907
Policy/configuration,2025-05-01,9.456046424962096
Release pipeline,2025-05-01,1.633729543432216
Signing workflow,2025-05-01,4.944297190722261
Verification workflow,2025-05-01,3.87803678340092
Web Client,2025-05-01,5.533265622381699
API,2025-06-01,6.81136816022889
Authentication/Authorization tools,2025-06-01,5.963354302828847
Build/CI/Installation,2025-06-01,4.34142847482863
CLI tooling,2025-06-01,11.500351205383328
Core,2025-06-01,11.916045146210498
Key Management Core / Secrets Backend,2025-06-01,6.862322226599543
Notification/Logging,2025-06-01,3.2443427343554787
Policy/configuration,2025-06-01,9.186343612062462
Release pipeline,2025-06-01,1.6028604614238375
Signing workflow,2025-06-01,4.820744138415292
Verification workflow,2025-06-01,3.749324654253577
Web Client,2025-06-01,5.4447115443765
API,2025-07-01,6.606268630370436
Authentication/Authorization tools,2025-07-01,5.818468711542204
Build/CI/Installation,2025-07-01,4.246417128118651
CLI tooling,2025-07-01,11.151721987345
Core,2025-07-01,11.550458884502191
Key Management Core / Secrets Backend,2025-07-01,6.6988908971208385
Notification/Logging,2025-07-01,3.173384506026393
Policy/configuration,2025-07-01,8.924333190254934
Release pipeline,2025-07-01,1.5725746462284214
Signing workflow,2025-07-01,4.700278553577516
Verification workflow,2025-07-01,3.6248844836035223
Web Client,2025-07-01,5.3575746809542455
API,2025-08-01,6.4073449254209605
Authentication/Authorization tools,2025-08-01,5.677103259005749
Build/CI/Installation,2025-08-01,4.153485086885194
